NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0287925450176, Test: 0.851433966194
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00957873317323, Test: 0.707093222017
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0410893606249, Test: 0.694531369951
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0210175828357, Test: 0.631803212867
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0168554712782, Test: 0.823201463898
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0359712962894, Test: 0.534190352527
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0399911009253, Test: 0.637136260321
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0424915259797, Test: 0.635234573292
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0476218991417, Test: 0.468755694618
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.045960510204, Test: 0.520730547222
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.014501607737, Test: 0.40362912435
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00650353312469, Test: 0.479818340886
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0129022634708, Test: 0.400756074175
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00964799530988, Test: 0.440290815483
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0069224329402, Test: 0.445437552622
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.000724710528929, Test: 0.437922105016
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00858148728458, Test: 0.372549193667
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00232063849291, Test: 0.391008792772
